Round	Pick	Player	Position	Team	Duration	YTD
1	1	Jokic, Nikola	C	@jimmytheguy	4 min 10 sec	-
1	2	Wembanyama, Victor	F	50-5	12 min 10 sec	-
1	3	Gilgeous-Alexander, Shai	G	Draft29	14 min 52 sec	-
1	4	Doncic, Luka	G	@Danellmer27	1 hour 7 min 5 sec	-
1	5	Cunningham, Cade	G	LOLMets Support Group	55 min 56 sec	-
1	6	Edwards, Anthony	G	@kfredincali	1 hour 48 min 54 sec	-
1	7	Towns, Karl-Anthony	F	Little Donny 2	3 min 45 sec	-
1	8	Young, Trae	G	@KenGill	1 min 50 sec	-
1	9	Antetokounmpo, Giannis	F	@Gamer_Gid	30 min 27 sec	-
1	10	Harden, James	G	@Glinn	43 min 39 sec	-
1	11	Davis, Anthony	F	@Gdmets1986	1 hour 1 min 7 sec	-
1	12	Curry, Stephen	G	M5 - Racco	5 min 40 sec	-
2	13	Booker, Devin	G	M5 - Racco	4 sec	-
2	14	Maxey, Tyrese	G	@Gdmets1986	11 min 50 sec	-
2	15	Sabonis, Domantas	F	@Glinn	42 min 24 sec	-
2	16	Brunson, Jalen	G	@Gamer_Gid	58 min 27 sec	-
2	17	Mitchell, Donovan	G	@KenGill	5 sec	-
2	18	Durant, Kevin	F	Little Donny 2	43 min 11 sec	-
2	19	Giddey, Josh	G	@kfredincali	1 hour 59 min 40 sec	-
2	20	Mobley, Evan	F	LOLMets Support Group	22 min 34 sec	-
2	21	Banchero, Paolo	F	@Danellmer27	5 min 2 sec	-
2	22	Thompson, Amen	F	Draft29	54 min 14 sec	-
2	23	Johnson, Jalen	F	50-5	7 min 26 sec	-
2	24	Fox, De'Aaron	G	@jimmytheguy	1 hour 17 min 40 sec	-
3	25	Williams, Jalen	G	M5 - Racco	10 min 59 sec	-
3	26	Holmgren, Chet	F	@Gdmets1986	11 min 54 sec	-
3	27	Barnes, Scottie	F	@Glinn	5 sec	-
3	28	Sengun, Alperen	C	@Gamer_Gid	16 min 50 sec	-
3	29	Adebayo, Bam	F	@KenGill	1 hour 53 min	-
3	30	Turner, Myles	C	Little Donny 2	0 sec	-
3	31	Jackson, Jaren	F	@kfredincali	1 hour 49 min 3 sec	-
3	32	Wagner, Franz	F	LOLMets Support Group	2 hour	-
3	33	Miller, Brandon	F	@Danellmer27	1 hour 5 min	-
3	34	Murray, Jamal	G	Draft29	46 min 48 sec	-
